college_code,college_name,college_name_raw,college_short_name,college_type,district,region,nirf_rank,branch_raw,branch_clean,branch_norm,branch_short,degree,is_self_supporting,has_any_cutoff,OC_2025,OC_2024,OC_2023,OC_2022,OC_2021,BC_2025,BC_2024,BC_2023,BC_2022,BC_2021,BCM_2025,BCM_2024,BCM_2023,BCM_2022,BCM_2021,MBC_2025,MBC_2024,MBC_2023,MBC_2022,MBC_2021,SC_2025,SC_2024,SC_2023,SC_2022,SC_2021,SCA_2025,SCA_2024,SCA_2023,SCA_2022,SCA_2021,ST_2025,ST_2024,ST_2023,ST_2022,ST_2021
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,BIO MEDICAL ENGINEERING (SS),BIO MEDICAL ENGINEERING,Bio Medical Engineering,BME,B.E./B.Tech,True,True,195.5,195.0,195.0,196.0,195.0,193.0,192.0,191.5,193.0,194.0,190.0,193.0,193.5,194.5,193.5,193.0,193.0,188.8,192.0,194.8,189.5,182.5,184.0,186.2,189.0,179.0,168.0,164.0,178.4,182.5,185.5,,,193.7,181.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,CIVIL ENGINEERING,CIVIL ENGINEERING,Civil Engineering,CIVIL,B.E./B.Tech,False,True,195.5,195.0,193.0,193.5,193.5,193.5,192.0,190.0,191.5,192.7,195.0,190.0,192.0,186.8,190.5,194.5,193.5,187.0,189.0,193.3,193.0,186.0,183.0,183.5,190.0,182.5,176.0,173.5,174.0,182.0,182.5,,177.5,,174.6
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,CIVIL ENGINEERING (TAMIL MEDIUM),CIVIL ENGINEERING (TAMIL MEDIUM),Civil Engineering (Tamil Medium),CIVIL,B.E./B.Tech,False,True,192.5,188.4,180.5,181.0,187.0,184.0,179.0,174.0,173.0,181.8,185.0,181.0,161.0,137.0,177.8,186.0,181.5,165.5,167.0,182.3,185.5,167.0,166.0,171.0,176.9,182.0,156.5,157.5,103.0,173.0,,,,,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,COMPUTER SCIENCE AND ENGINEERING (SS),COMPUTER SCIENCE AND ENGINEERING,Computer Science and Engineering,CSE,B.E./B.Tech,True,True,199.5,199.5,199.5,199.5,198.0,199.0,199.0,199.0,199.5,197.7,199.5,198.0,198.5,198.0,196.4,199.0,199.0,199.0,198.5,197.5,196.5,195.5,196.0,194.5,193.0,191.0,190.5,178.0,189.5,192.1,196.0,,192.0,189.0,190.8
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,COMPUTER SCIENCE AND ENGINEERING,COMPUTER SCIENCE AND ENGINEERING,Computer Science and Engineering,CSE,B.E./B.Tech,False,True,200.0,200.0,200.0,200.0,199.0,200.0,199.5,200.0,200.0,198.1,199.5,198.5,199.5,199.0,197.0,200.0,199.5,199.5,199.3,198.6,198.5,197.5,198.5,197.5,196.5,198.7,195.0,185.5,197.5,193.9,197.0,191.5,,,192.2
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,ELECTRICAL AND ELECTRONICS ENGINEERING,ELECTRICAL AND ELECTRONICS ENGINEERING,Electrical and Electronics Engineering,EEE,B.E./B.Tech,False,True,198.0,197.5,198.0,197.5,196.0,197.0,196.5,197.5,197.0,195.0,196.0,196.5,195.0,194.5,193.8,197.5,196.0,195.5,195.5,195.5,193.5,192.5,189.0,189.5,191.0,188.5,187.5,176.5,181.9,190.4,197.0,190.0,171.0,,191.0
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,ELECTRONICS AND COMMUNICATION ENGINEERING,ELECTRONICS AND COMMUNICATION ENGINEERING,Electronics and Communication Engineering,ECE,B.E./B.Tech,False,True,199.5,199.5,200.0,199.5,198.0,199.5,199.0,199.5,199.0,197.3,198.5,197.5,198.0,198.0,196.0,199.0,198.5,198.5,198.0,197.1,197.5,197.0,195.0,194.0,194.3,192.5,196.0,186.0,185.0,192.0,,,180.5,,192.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),ELECTRONICS AND COMMUNICATION ENGINEERING,Electronics and Communication Engineering,ECE,B.E./B.Tech,True,True,199.0,198.5,199.0,198.5,196.6,198.5,198.5,198.5,198.5,196.0,,197.5,197.5,196.0,195.9,198.5,197.5,197.0,196.5,196.0,195.5,194.0,191.5,191.0,192.2,188.5,191.5,190.0,,189.0,,180.5,175.5,187.5,187.5
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,Electronics Engineering (VLSI Design and Technology) (SS),Electronics Engineering (VLSI Design and Technology),Electronics Engineering (VLSI Design and Technology),VLSI,B.E./B.Tech,True,True,197.5,197.0,,,,197.0,196.5,,,,196.5,194.5,,,,197.0,195.5,,,,192.5,191.0,,,,186.0,,,,,189.5,164.0,,,
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,,,,,,GEO INFORMATICS,GEO INFORMATICS,Geo Informatics,GEOINF,B.E./B.Tech,False,True,194.0,191.0,191.0,193.0,193.2,189.5,188.0,188.5,190.0,192.0,191.5,189.0,188.5,188.5,192.0,188.5,186.0,187.5,189.5,193.1,180.5,177.0,179.5,177.5,188.0,181.5,175.0,159.5,180.7,182.3,186.0,,155.5,,
